Station,lat,long,type,
Amsterdam-Oude-Schans,52.372234,4.904584,City Background,
Amsterdam-Stadhouderskade,52.358080,4.899696,Street Traffic,
Amsterdam-Vondelpark,52.359864,4.866185,City Background,
Amsterdam-Jan van Galenstraat,52.374851,4.860299,Street Traffic,
Amsterdam-Haarlemmerweg,52.385449,4.875582,Street Traffic,
Amsterdam-Van Diemenstraat,52.390060,4.887904,Street Traffic,
Amsterdam-Westerpark,52.394126,4.870355,City Background,
Amsterdam-Einsteinweg,52.381797,4.845117,Street Traffic,
Amsterdam-A10-West,52.339669,4.841014,Street Traffic,
Amsterdam-Ookmeer,52.367053,4.793309,City Background,
Amsterdam-Nieuwendammerdijk,52.389628,4.943648,City Background,
Amsterdam -Kantershof,52.320776,4.988346,City Background,
